userId,movieId,tag,timestamp,datetime,tag_clean
2,60756,funny,1445714994,2015-10-24 19:29:54,funny
2,60756,Highly quotable,1445714996,2015-10-24 19:29:56,highly quotable
2,60756,will ferrell,1445714992,2015-10-24 19:29:52,will ferrell
2,89774,Boxing story,1445715207,2015-10-24 19:33:27,boxing story
2,89774,MMA,1445715200,2015-10-24 19:33:20,mma
2,89774,Tom Hardy,1445715205,2015-10-24 19:33:25,tom hardy
2,106782,drugs,1445715054,2015-10-24 19:30:54,drugs
2,106782,Leonardo DiCaprio,1445715051,2015-10-24 19:30:51,leonardo dicaprio
2,106782,Martin Scorsese,1445715056,2015-10-24 19:30:56,martin scorsese
7,48516,way too long,1169687325,2007-01-25 01:08:45,way too long
18,431,Al Pacino,1462138765,2016-05-01 21:39:25,al pacino
18,431,gangster,1462138749,2016-05-01 21:39:09,gangster
18,431,mafia,1462138755,2016-05-01 21:39:15,mafia
18,1221,Al Pacino,1461699306,2016-04-26 19:35:06,al pacino
18,1221,Mafia,1461699303,2016-04-26 19:35:03,mafia
18,5995,holocaust,1455735472,2016-02-17 18:57:52,holocaust
18,5995,true story,1455735479,2016-02-17 18:57:59,true story
18,44665,twist ending,1456948283,2016-03-02 19:51:23,twist ending
18,52604,Anthony Hopkins,1457650696,2016-03-10 22:58:16,anthony hopkins
18,52604,courtroom drama,1457650711,2016-03-10 22:58:31,courtroom drama
18,52604,twist ending,1457650682,2016-03-10 22:58:02,twist ending
18,88094,britpop,1457444500,2016-03-08 13:41:40,britpop
18,88094,indie record label,1457444592,2016-03-08 13:43:12,indie record label
18,88094,music,1457444609,2016-03-08 13:43:29,music
18,144210,dumpster diving,1455060381,2016-02-09 23:26:21,dumpster diving
18,144210,Sustainability,1455060452,2016-02-09 23:27:32,sustainability
21,1569,romantic comedy,1419805413,2014-12-28 22:23:33,romantic comedy
21,1569,wedding,1419805419,2014-12-28 22:23:39,wedding
21,118985,painter,1419805477,2014-12-28 22:24:37,painter
21,119141,bloody,1419793962,2014-12-28 19:12:42,bloody
49,109487,black hole,1493093306,2017-04-25 04:08:26,black hole
49,109487,sci-fi,1493093332,2017-04-25 04:08:52,sci-fi
49,109487,time-travel,1493093356,2017-04-25 04:09:16,time-travel
62,2,fantasy,1528843929,2018-06-12 22:52:09,fantasy
62,2,magic board game,1528843932,2018-06-12 22:52:12,magic board game
62,2,Robin Williams,1528843907,2018-06-12 22:51:47,robin williams
62,110,beautiful scenery,1528152541,2018-06-04 22:49:01,beautiful scenery
62,110,epic,1528152532,2018-06-04 22:48:52,epic
62,110,historical,1528152523,2018-06-04 22:48:43,historical
62,110,inspirational,1528152527,2018-06-04 22:48:47,inspirational
62,110,Medieval,1528152528,2018-06-04 22:48:48,medieval
62,110,mel gibson,1528152521,2018-06-04 22:48:41,mel gibson
62,110,Oscar (Best Cinematography),1528152539,2018-06-04 22:48:59,oscar (best cinematography)
62,110,revenge,1528152531,2018-06-04 22:48:51,revenge
62,110,sword fight,1528152535,2018-06-04 22:48:55,sword fight
62,410,black comedy,1525636607,2018-05-06 19:56:47,black comedy
62,410,Christina Ricci,1525636685,2018-05-06 19:58:05,christina ricci
62,410,Christopher Lloyd,1525636622,2018-05-06 19:57:02,christopher lloyd
62,410,dark comedy,1525636610,2018-05-06 19:56:50,dark comedy
62,410,family,1525636708,2018-05-06 19:58:28,family
62,410,gothic,1525636609,2018-05-06 19:56:49,gothic
62,2023,Al Pacino,1525636728,2018-05-06 19:58:48,al pacino
62,2023,Andy Garcia,1525636768,2018-05-06 19:59:28,andy garcia
62,2023,Classic,1525636752,2018-05-06 19:59:12,classic
62,2023,Francis Ford Coppola,1525636752,2018-05-06 19:59:12,francis ford coppola
62,2023,mafia,1525636733,2018-05-06 19:58:53,mafia
62,2124,black comedy,1525636847,2018-05-06 20:00:47,black comedy
62,2124,Christina Ricci,1525636867,2018-05-06 20:01:07,christina ricci
62,2124,Christopher Lloyd,1525636859,2018-05-06 20:00:59,christopher lloyd
62,2124,Family,1525636855,2018-05-06 20:00:55,family
62,2124,gothic,1525636849,2018-05-06 20:00:49,gothic
62,2124,quirky,1525636846,2018-05-06 20:00:46,quirky
62,2953,family,1525636883,2018-05-06 20:01:23,family
62,2953,funny,1525636885,2018-05-06 20:01:25,funny
62,2953,Macaulay Culkin,1525636890,2018-05-06 20:01:30,macaulay culkin
62,2953,sequel,1525636887,2018-05-06 20:01:27,sequel
62,3114,animation,1525636903,2018-05-06 20:01:43,animation
62,3114,Disney,1525636902,2018-05-06 20:01:42,disney
62,3114,funny,1525636913,2018-05-06 20:01:53,funny
62,3114,original,1525636917,2018-05-06 20:01:57,original
62,3114,Pixar,1525636901,2018-05-06 20:01:41,pixar
62,3114,sequel,1525636910,2018-05-06 20:01:50,sequel
62,3114,Tom Hanks,1525636925,2018-05-06 20:02:05,tom hanks
62,3578,ancient Rome,1528152504,2018-06-04 22:48:24,ancient rome
62,3578,Epic,1528152469,2018-06-04 22:47:49,epic
62,3578,history,1528152467,2018-06-04 22:47:47,history
62,3578,imdb top 250,1528152498,2018-06-04 22:48:18,imdb top 250
62,3578,revenge,1528152496,2018-06-04 22:48:16,revenge
62,3578,Rome,1528152463,2018-06-04 22:47:43,rome
62,3578,Russell Crowe,1528152465,2018-06-04 22:47:45,russell crowe
62,4223,Ed Harris,1528024869,2018-06-03 11:21:09,ed harris
62,4223,Jude Law,1528024854,2018-06-03 11:20:54,jude law
62,4223,Rachel Weisz,1528024873,2018-06-03 11:21:13,rachel weisz
62,4223,sniper,1528024852,2018-06-03 11:20:52,sniper
62,4223,World War II,1528024877,2018-06-03 11:21:17,world war ii
62,5388,Al Pacino,1530310809,2018-06-29 22:20:09,al pacino
62,5388,atmospheric,1530310959,2018-06-29 22:22:39,atmospheric
62,5388,Hilary Swank,1530310952,2018-06-29 22:22:32,hilary swank
62,5388,Robin Williams,1530310811,2018-06-29 22:20:11,robin williams
62,6058,sequel,1525555053,2018-05-05 21:17:33,sequel
62,6058,violent,1525555051,2018-05-05 21:17:31,violent
62,6534,dogs,1525554096,2018-05-05 21:01:36,dogs
62,6534,Eric Bana,1525554086,2018-05-05 21:01:26,eric bana
62,6534,mad scientist,1525554098,2018-05-05 21:01:38,mad scientist
62,6534,marvel,1525554100,2018-05-05 21:01:40,marvel
62,6541,captain nemo,1525554054,2018-05-05 21:00:54,captain nemo
62,6541,comic book,1525554028,2018-05-05 21:00:28,comic book
62,6541,gothic,1525554056,2018-05-05 21:00:56,gothic
62,6541,Peta Wilson,1525554040,2018-05-05 21:00:40,peta wilson
62,6541,Sean Connery,1525554026,2018-05-05 21:00:26,sean connery
62,6541,superhero,1525554051,2018-05-05 21:00:51,superhero
62,6564,adventure,1525554439,2018-05-05 21:07:19,adventure
62,6564,Angelina Jolie,1525554432,2018-05-05 21:07:12,angelina jolie
62,6564,heroine in tight suit,1525554441,2018-05-05 21:07:21,heroine in tight suit
62,7153,Adventure,1528152558,2018-06-04 22:49:18,adventure
62,7153,ensemble cast,1528152578,2018-06-04 22:49:38,ensemble cast
